dst,reflex18,reflex19,reflex20,reflex21,reflex22,reflex23
13253,3.595501985342708,3.3460340552712236,3.2906884477956244,3.4678115522463893,3.567135508513872,4.226090328102566
13255,3.1977056927529355,3.0335080826119674,2.8983633041864296,3.082505850619395,3.1575036128396703,3.9372973016374715
13257,3.4924826199860046,3.21108519622921,2.985757638460353,3.169482736323663,3.250460361165417,3.8736418321620834
13259,4.204752443975477,3.9850351593948483,4.154542857920318,4.266415366465252,4.287697715906459,4.815221680268553
13261,4.044659867412073,3.677631427862761,3.4747560242243645,3.63942922961361,3.729778937171984,4.408394433218611
13263,3.336659597596467,3.0474606694113913,3.0492335554265053,3.194177936232908,3.2869835636004368,3.8620405480589457
13265,4.342989524542576,4.117310455978279,4.0908119313522935,4.410261374677575,4.538704550037169,4.941304315739993
13267,3.6589752059387344,3.3754071538775596,3.3264441898302337,3.424637597868016,3.520995391584054,4.058230508173364
13269,4.026722271543295,3.747780169309943,3.7393978831632047,3.907763347348451,3.9796717674222495,4.460106132973089
13271,3.872491548011534,3.4958810806591005,3.280763946683293,3.472673461940481,3.6066988584694046,4.288029511893741
13273,3.711431983474308,3.4405411836030626,3.3125012975067545,3.631624492873672,3.772174926059013,4.497956321541469
13275,3.7412885603633574,3.4700535499151366,3.29056113626315,3.482246149959986,3.5430602182672977,4.19728678130212
13277,4.7998626290272535,4.552265431687194,4.310280648665026,4.523347032555046,4.536535846724663,5.139514035036028
13279,3.775564466941779,3.4802280792985014,3.3238018072018964,3.476411832987202,3.529170100474859,4.229373631921203
13281,4.487071221040842,4.227331656735186,4.198576543262883,4.317567396832387,4.31027817476894,4.965470393993197
13283,3.7412277655341053,3.4159518634696964,3.14733817702908,3.544286603320733,3.5720925169382785,4.294222176932058
13285,4.20760518864612,4.023866705479833,3.79672133479421,4.0077954543299485,4.062192328281838,4.699174294733467
13287,4.965283309502665,4.744251306757703,4.599162418196884,4.985691986157596,5.051507681683701,5.483404275178497
13289,3.6160812993980747,3.3247464458261438,3.1906878276288078,3.498429617922232,3.621378338643857,4.219302766489921
13291,4.454569522767392,4.191061164806553,4.111257889301386,4.260785778104392,4.311345190096824,4.862229736745948
13293,3.601481908553595,3.3320552802652363,3.1306891483931207,3.282055989914578,3.346925132991912,4.071358195139299
13295,2.906264353698236,2.7443128823902017,2.7147704659694423,2.9375913470918507,2.8880270583899312,3.587054241332203
13297,3.13543576140932,2.987033307569997,2.926793681791291,3.1136461024802693,3.185113365362062,3.8374103670140842
13299,3.5232677987334386,3.2307606877627757,3.079260138819079,3.292831502687257,3.4029750117483983,4.118144230275061
13301,3.6198051992383284,3.232028685887745,3.137045377114513,3.3959609985006365,3.4537905096396644,4.364703566001543
